"drag-coefficient-rfile"
"Iteration" "drag-coefficient"
("Iteration" "drag-coefficient")
1 346.4855975934892
2 173.6349202566609
3 92.16173249241879
4 51.79633955952571
5 31.24667276232524
6 20.55997855559653
7 14.95892173058201
8 12.0126646673731
9 10.43805464356646
10 9.58078698395915
11 9.101847715887015
12 8.838218708390652
13 8.696293385969936
14 8.618022572981838
15 8.571206824498731
16 8.544236808967804
17 8.529338146562225
18 8.521247131933233
19 8.516884933296206
20 8.514821649813666
21 8.513812945518202
22 8.512244140335117
23 8.511911152264739
24 8.511720670348431
25 8.511495523361551
26 8.511328371869768
27 8.511189114937848
28 8.511076735901126
29 8.510982802169051
30 8.510913449156252
31 8.510857726415349
32 8.510812487394139
33 8.510777101627976
34 8.510749523027783
35 8.510728402434646
36 8.510712654808419
37 8.510700491296241
38 8.51069111680877
39 8.510683987520446
40 8.510678625649129
41 8.510674590497933
42 8.510671543098228
43 8.51066920900073
44 8.510667399258224
45 8.510666012904281
46 8.510664962440579
47 8.510664155827218
48 8.510663531729085
49 8.51066304761029
50 8.51066267220785
51 8.510662381712038
52 8.510662157648298
53 8.510661985547181
