"drag-coefficient-rfile"
"Iteration" "drag-coefficient"
("Iteration" "drag-coefficient")
1 149.942931947194
2 77.35332248732564
3 43.40882418729484
4 26.53062200218987
5 17.88489893379203
6 13.40216480449841
7 11.06521061249211
8 9.824600819391904
9 9.158751896033293
10 8.798361986122474
11 8.604711903118472
12 8.503154822021402
13 8.449731734999899
14 8.421973638767009
15 8.407279908445224
16 8.39870569802304
17 8.393755264717161
18 8.390978545579561
19 8.389621526520171
20 8.388901835984166
21 8.388516658554536
22 8.388250972947491
23 8.38806253860243
24 8.387930262454942
25 8.387833901912996
26 8.387762559113956
27 8.387709314807193
28 8.387669777945627
29 8.387640820995442
30 8.387619354613523
31 8.387603164956538
32 8.387591009172263
33 8.387581951712617
34 8.387575257485251
35 8.387570348032469
36 8.387566770898099
37 8.387564177750765
38 8.387562304483522
39 8.387560953886895
40 8.387559980696919
41 8.387559279094045
42 8.387558772627653
43 8.387558406368695
44 8.387558140969555
45 8.387557948268043
46 8.38755780809074
47 8.387557705956873
48 8.387557579705431
49 8.387557569870282
50 8.387557547918833
51 8.387557522857302
52 8.387557501191523
53 8.387557484420086
54 8.387557472021754
55 8.387557462925194
56 8.387557456105693
57 8.387557450784962
58 8.387557446449886
59 8.387557442799265
60 8.387557439673833
61 8.38755743699519
62 8.387557434722249
63 8.387557432825147
64 8.387557431272693
65 8.387557430028536
66 8.387557429052148
67 8.387557428301569
68 8.387557427736308
