[Name]
Series 1 at /LINE:Line 1

[Data]
X [ m ],Velocity [ m s^-1 ]
0.00000000e+00, 1.99999995e-04
3.40340339e-04, 1.99949398e-04
6.80680678e-04, 1.99898772e-04
1.02102105e-03, 1.99848189e-04
1.36136136e-03, 1.99797534e-04
1.70170167e-03, 1.99746981e-04
2.04204209e-03, 1.99696326e-04
2.38238252e-03, 1.99645758e-04
2.72272294e-03, 1.99595146e-04
3.06306337e-03, 1.99544549e-04
3.40340380e-03, 1.99493938e-04
3.74374422e-03, 1.99443355e-04
4.08408465e-03, 1.99392787e-04
4.42442484e-03, 1.99342176e-04
4.76476504e-03, 1.99291608e-04
5.10510523e-03, 1.99241011e-04
5.44544542e-03, 1.99190414e-04
5.78578562e-03, 1.99139846e-04
6.12612581e-03, 1.99089263e-04
6.46646600e-03, 1.99038681e-04
6.80680620e-03, 1.98988098e-04
7.14714639e-03, 1.98937531e-04
7.48748658e-03, 1.98886977e-04
7.82782678e-03, 1.98836380e-04
8.16816743e-03, 1.98785812e-04
8.50850809e-03, 1.98735244e-04
8.84884875e-03, 1.98684691e-04
9.18918941e-03, 1.98634123e-04
9.52953007e-03, 1.98583570e-04
9.86987073e-03, 1.98530703e-04
1.02102114e-02, 1.98468741e-04
1.05505520e-02, 1.98406779e-04
1.08908927e-02, 1.98344816e-04
1.12312334e-02, 1.98282898e-04
1.15715740e-02, 1.98220994e-04
1.19119147e-02, 1.98159105e-04
1.22522553e-02, 1.98097187e-04
1.25925960e-02, 1.98035312e-04
1.29329367e-02, 1.97971254e-04
1.32732773e-02, 1.97848698e-04
1.36136180e-02, 1.97726127e-04
1.39539586e-02, 1.97603600e-04
1.42942993e-02, 1.97481058e-04
1.46346400e-02, 1.97358560e-04
1.49749806e-02, 1.97236091e-04
1.53153213e-02, 1.97113608e-04
1.56556610e-02, 1.96991139e-04
1.59960017e-02, 1.96868685e-04
1.63363423e-02, 1.96746289e-04
1.66766830e-02, 1.96623849e-04
1.70170236e-02, 1.96501453e-04
1.73573643e-02, 1.96379056e-04
1.76977050e-02, 1.96256704e-04
1.80380456e-02, 1.96134322e-04
1.83783863e-02, 1.96011999e-04
1.87187269e-02, 1.95889690e-04
1.90590676e-02, 1.95767367e-04
1.93994083e-02, 1.95645072e-04
1.97397489e-02, 1.95522836e-04
2.00800896e-02, 1.95400542e-04
2.04204302e-02, 1.95278320e-04
2.07607709e-02, 1.95156070e-04
2.11011115e-02, 1.95033877e-04
2.14414522e-02, 1.94911656e-04
2.17817929e-02, 1.94789507e-04
2.21221335e-02, 1.94667300e-04
2.24624742e-02, 1.94545180e-04
2.28028148e-02, 1.94423003e-04
2.31431555e-02, 1.94300927e-04
2.34834962e-02, 1.94178807e-04
2.38238368e-02, 1.94045628e-04
2.41641775e-02, 1.93813612e-04
2.45045181e-02, 1.93581698e-04
2.48448588e-02, 1.93349813e-04
2.51851995e-02, 1.93118060e-04
2.55255401e-02, 1.92886364e-04
2.58658808e-02, 1.92654756e-04
2.62062214e-02, 1.92423220e-04
2.65465621e-02, 1.92191786e-04
2.68869027e-02, 1.91960455e-04
2.72272434e-02, 1.91729137e-04
2.75675841e-02, 1.91497995e-04
2.79079247e-02, 1.91266838e-04
2.82482654e-02, 1.91035841e-04
2.85886060e-02, 1.90804887e-04
2.89289467e-02, 1.90574021e-04
2.92692874e-02, 1.90343257e-04
2.96096280e-02, 1.90112580e-04
2.99499687e-02, 1.89881990e-04
3.02903093e-02, 1.89490267e-04
3.06306500e-02, 1.89015584e-04
3.09709907e-02, 1.88541017e-04
3.13113295e-02, 1.88066508e-04
3.16516683e-02, 1.87592130e-04
3.19920070e-02, 1.87117781e-04
3.23323458e-02, 1.86643505e-04
3.26726846e-02, 1.86169345e-04
3.30130234e-02, 1.85695273e-04
3.33533622e-02, 1.85221274e-04
3.36937010e-02, 1.84747347e-04
3.40340398e-02, 1.84273333e-04
3.43743786e-02, 1.83799770e-04
3.47147174e-02, 1.83326134e-04
3.50550562e-02, 1.82852542e-04
3.53953950e-02, 1.82379081e-04
3.57357338e-02, 1.81905663e-04
3.60760726e-02, 1.81432348e-04
3.64164114e-02, 1.80959149e-04
3.67567502e-02, 1.80486037e-04
3.70970890e-02, 1.79994662e-04
3.74374278e-02, 1.79470560e-04
3.77777666e-02, 1.78946648e-04
3.81181054e-02, 1.78422983e-04
3.84584442e-02, 1.77899477e-04
3.87987830e-02, 1.77376205e-04
3.91391218e-02, 1.76853151e-04
3.94794606e-02, 1.76330286e-04
3.98197994e-02, 1.75807669e-04
4.01601382e-02, 1.75285226e-04
4.05004770e-02, 1.74613917e-04
4.08408158e-02, 1.73841865e-04
4.11811545e-02, 1.73069799e-04
4.15214933e-02, 1.72297776e-04
4.18618321e-02, 1.71525782e-04
4.22021709e-02, 1.70753789e-04
4.25425097e-02, 1.69981839e-04
4.28828485e-02, 1.69209903e-04
4.32231873e-02, 1.68438011e-04
4.35635261e-02, 1.67666105e-04
4.39038649e-02, 1.66894257e-04
4.42442037e-02, 1.66122438e-04
4.45845425e-02, 1.65350619e-04
4.49248813e-02, 1.64578872e-04
4.52652201e-02, 1.63807141e-04
4.56055589e-02, 1.63035409e-04
4.59458977e-02, 1.62263721e-04
4.62862365e-02, 1.61459451e-04
4.66265753e-02, 1.60583601e-04
4.69669141e-02, 1.59708274e-04
4.73072529e-02, 1.58833514e-04
4.76475917e-02, 1.57959279e-04
4.79879305e-02, 1.57085582e-04
4.83282693e-02, 1.56191090e-04
4.86686081e-02, 1.54927751e-04
4.90089469e-02, 1.53664398e-04
4.93492857e-02, 1.52401088e-04
4.96896245e-02, 1.51137778e-04
5.00299633e-02, 1.49874468e-04
5.03703021e-02, 1.48611158e-04
5.07106408e-02, 1.47347848e-04
5.10509796e-02, 1.46084552e-04
5.13913184e-02, 1.44821242e-04
5.17316572e-02, 1.43557947e-04
5.20719960e-02, 1.42294666e-04
5.24123348e-02, 1.41031371e-04
5.27526736e-02, 1.39768104e-04
5.30930124e-02, 1.38504824e-04
5.34333512e-02, 1.37241572e-04
5.37736900e-02, 1.35977243e-04
5.41140288e-02, 1.34644521e-04
5.44543676e-02, 1.32879752e-04
5.47947064e-02, 1.31112422e-04
5.51350452e-02, 1.29452703e-04
5.54753840e-02, 1.27852603e-04
5.58157228e-02, 1.26252518e-04
5.61560616e-02, 1.24652477e-04
5.64964004e-02, 1.23052450e-04
5.68367392e-02, 1.21452453e-04
5.71770780e-02, 1.19852499e-04
5.75174168e-02, 1.18252559e-04
5.78577556e-02, 1.16652642e-04
5.81980944e-02, 1.15052746e-04
5.85384332e-02, 1.13452887e-04
5.88787720e-02, 1.11853049e-04
5.92191108e-02, 1.09885033e-04
5.95594496e-02, 1.07777050e-04
5.98997883e-02, 1.05669729e-04
6.02401271e-02, 1.03563099e-04
6.05804659e-02, 1.01480720e-04
6.09208047e-02, 9.93995927e-05
6.12611435e-02, 9.73185015e-05
6.16014823e-02, 9.52374903e-05
6.19418211e-02, 9.31565082e-05
6.22821599e-02, 9.10755771e-05
6.26225024e-02, 8.89970543e-05
6.29628450e-02, 8.70004296e-05
6.33031875e-02, 8.50059878e-05
6.36435300e-02, 8.29451965e-05
6.39838725e-02, 8.08749610e-05
6.43242151e-02, 7.88047546e-05
6.46645576e-02, 7.67345846e-05
6.50049001e-02, 7.46644655e-05
6.53452426e-02, 7.25943755e-05
6.56855851e-02, 7.01863828e-05
6.60259277e-02, 6.74978437e-05
6.63662702e-02, 6.48093046e-05
6.67066127e-02, 6.21207946e-05
6.70469552e-02, 5.94322846e-05
6.73872977e-02, 5.67378884e-05
6.77276403e-02, 5.43838323e-05
6.80679828e-02, 5.20249559e-05
