[Name]
Series 1 at /LINE:Line 1

[Data]
X [ m ],Velocity [ m s^-1 ]
0.00000000e+00, 1.99999995e-04
3.40340339e-04, 1.99952978e-04
6.80680678e-04, 1.99905946e-04
1.02102105e-03, 1.99858885e-04
1.36136136e-03, 1.99811839e-04
1.70170167e-03, 1.99764821e-04
2.04204209e-03, 1.99717790e-04
2.38238252e-03, 1.99670743e-04
2.72272294e-03, 1.99623712e-04
3.06306337e-03, 1.99576651e-04
3.40340380e-03, 1.99529648e-04
3.74374422e-03, 1.99482602e-04
4.08408465e-03, 1.99435555e-04
4.42442484e-03, 1.99388494e-04
4.76476504e-03, 1.99341492e-04
5.10510523e-03, 1.99294445e-04
5.44544542e-03, 1.99247428e-04
5.78578562e-03, 1.99200396e-04
6.12612581e-03, 1.99153350e-04
6.46646600e-03, 1.99106347e-04
6.80680620e-03, 1.99059272e-04
7.14714639e-03, 1.99012269e-04
7.48748658e-03, 1.98965208e-04
7.82782678e-03, 1.98918191e-04
8.16816743e-03, 1.98871159e-04
8.50850809e-03, 1.98824098e-04
8.84884875e-03, 1.98777081e-04
9.18918941e-03, 1.98730035e-04
9.52953007e-03, 1.98683018e-04
9.86987073e-03, 1.98645910e-04
1.02102114e-02, 1.98609079e-04
1.05505520e-02, 1.98572292e-04
1.08908927e-02, 1.98493828e-04
1.12312334e-02, 1.98375812e-04
1.15715740e-02, 1.98257854e-04
1.19119147e-02, 1.98139882e-04
1.22522553e-02, 1.98021880e-04
1.25925960e-02, 1.97909336e-04
1.29329367e-02, 1.97810397e-04
1.32732773e-02, 1.97711503e-04
1.36136180e-02, 1.97612535e-04
1.39539586e-02, 1.97513611e-04
1.42942993e-02, 1.97414658e-04
1.46346400e-02, 1.97315734e-04
1.49749806e-02, 1.97216796e-04
1.53153213e-02, 1.97117872e-04
1.56556610e-02, 1.97018948e-04
1.59960017e-02, 1.96920024e-04
1.63363423e-02, 1.96821071e-04
1.66766830e-02, 1.96722147e-04
1.70170236e-02, 1.96623194e-04
1.73573643e-02, 1.96524285e-04
1.76977050e-02, 1.96425346e-04
1.80380456e-02, 1.96326437e-04
1.83783863e-02, 1.96227484e-04
1.87187269e-02, 1.96128560e-04
1.90590676e-02, 1.96029621e-04
1.93994083e-02, 1.95930683e-04
1.97397489e-02, 1.95831759e-04
2.00800896e-02, 1.95732835e-04
2.04204302e-02, 1.95633926e-04
2.07607709e-02, 1.95391360e-04
2.11011115e-02, 1.95141096e-04
2.14414522e-02, 1.94890832e-04
2.17817929e-02, 1.94640612e-04
2.21221335e-02, 1.94390377e-04
2.24624742e-02, 1.94140172e-04
2.28028148e-02, 1.93889995e-04
2.31431555e-02, 1.93639789e-04
2.34834962e-02, 1.93402826e-04
2.38238368e-02, 1.93178945e-04
2.41641775e-02, 1.92955049e-04
2.45045181e-02, 1.92731168e-04
2.48448588e-02, 1.92507287e-04
2.51851995e-02, 1.92283493e-04
2.55255401e-02, 1.92059670e-04
2.58658808e-02, 1.91835876e-04
2.62062214e-02, 1.91612125e-04
