"drag-coefficient-rfile"
"Iteration" "drag-coefficient"
("Iteration" "drag-coefficient")
1 193.7146677370655
2 97.87016030903261
3 51.82170719901907
4 28.96591992257717
5 17.45580345942719
6 11.57333953349169
7 8.559530377736236
8 6.989502734930151
9 6.150796861902306
10 5.696491432949301
11 5.44876128937736
12 5.31333158045949
13 5.239676406259618
14 5.199239844676888
15 5.177654302413729
16 5.165806780390089
17 5.159239630526437
18 5.155513332474817
19 5.153494324860189
20 5.152484246907388
21 5.151902505207111
22 5.151467130962928
23 5.151143675618061
24 5.150918256797632
25 5.150751893361689
26 5.150626487880317
27 5.15053253462525
28 5.150461638986553
29 5.150408032806179
30 5.150367696291005
31 5.150337344017511
32 5.150314528143611
33 5.150297437415821
34 5.150284653152379
35 5.15027510300797
36 5.150267977365186
37 5.150262666187595
38 5.150258714646397
39 5.150255781426459
40 5.150253608191866
41 5.150252000834104
42 5.150250813748673
43 5.150249938102434
44 5.150249292824619
45 5.150248817699968
46 5.150248468108192
